itemCollection_fp_medmechs,type,qty,weight
mechdef_bushwackers_BSW-XS,Mech,1,1
mechdef_cicadas_CDA-S,Mech,1,1
mechdef_crabs_CRB-S1,Mech,1,1
mechdef_crabs_CRB-S2,Mech,1,1
mechdef_dervishs_DV-S,Mech,1,1
mechdef_griffins_GRF-S,Mech,1,1
mechdef_griffins_GRF-S2,Mech,1,1
mechdef_hatchetmans_HCT-S,Mech,1,1
mechdef_hellspawns_HSN-S,Mech,1,1
mechdef_hunchbacks_HBK-S1,Mech,1,1
mechdef_hunchbacks_HBK-S2,Mech,1,1
mechdef_hunchbacks_HBK-S3,Mech,1,1
mechdef_huronws_HUR-WO-S,Mech,1,1
mechdef_phoenixhawks_PXH-S,Mech,1,1
mechdef_shadowhawks_SHD-S1,Mech,1,1
mechdef_shadowhawks_SHD-S2,Mech,1,1
mechdef_taloss_TLS-S,Mech,1,1
mechdef_uziels_UZL-S,Mech,1,1
mechdef_wolverines_WVR-S,Mech,1,1
mechdef_blacklanners_BKL-S,Mech,1,1
mechdef_hellhounds_HEH-S,Mech,1,1
mechdef_huntsmans_HMN-S,Mech,1,1
mechdef_medusas_MED-S1,Mech,1,1
mechdef_medusas_MED-S2,Mech,1,1
mechdef_novas_NVA-S1,Mech,1,1
mechdef_novas_NVA-S2,Mech,1,1
mechdef_septicemias_PRI-S,Mech,1,1
mechdef_shadowcats_SHC-S,Mech,1,1
mechdef_stormcrows_SCR-S1,Mech,1,1
mechdef_stormcrows_SCR-S2,Mech,1,1
mechdef_vaporeagles_VGL-S,Mech,1,1
mechdef_vipers_VPR-S1,Mech,1,1
mechdef_vipers_VPR-S2,Mech,1,1
