itemCollection_fp_weapons,type,qty,weight
Weapon_ATM_IATM12_2,Weapon,1,1
Weapon_ATM_IATM3_2,Weapon,1,1
Weapon_ATM_IATM6_2,Weapon,1,1
Weapon_ATM_IATM9_2,Weapon,1,1
Weapon_Autocannon_AC10_CLAN_2,Weapon,1,1
Weapon_Autocannon_AC10_LBX_CLAN_2,Weapon,1,1
Weapon_Autocannon_AC2_CLAN_2,Weapon,1,1
Weapon_Autocannon_AC2_LBX_CLAN_2,Weapon,1,1
Weapon_Autocannon_AC20_CLAN_2,Weapon,1,1
Weapon_Autocannon_AC20_LBX_CLAN_2,Weapon,1,1
Weapon_Autocannon_AC5_CLAN_2,Weapon,1,1
Weapon_Autocannon_AC5_LBX_CLAN_2,Weapon,1,1
Weapon_Gauss_Gauss_3-EA,Weapon,1,1
Weapon_Gauss_Gauss_Clantech_2,Weapon,1,1
Weapon_Gauss_HeavyGaussV3,Weapon,1,1
Weapon_HyperGauss_HAG20_2,Weapon,1,1
Weapon_HyperGauss_HAG30_2,Weapon,1,1
Weapon_HyperGauss_HAG40_2,Weapon,1,1
Weapon_Laser_BinaryLaserCannon_2,Weapon,1,1
Weapon_Laser_BinaryLaserCannon_3,Weapon,1,1
Weapon_Laser_HeavyLargeLaser_CLAN_IMPROVED_2,Weapon,1,1
Weapon_Laser_HeavyMediumLaser_CLAN_IMPROVED_2,Weapon,1,1
Weapon_Laser_HeavySmallLaser_CLAN_IMPROVED_2,Weapon,1,1
Weapon_Laser_LargeLaserER_Clantech_2,Weapon,1,1
Weapon_Laser_LargeLaserERPulse_2,Weapon,1,1
Weapon_Laser_LargeLaserPulse_Clantech_2,Weapon,1,1
Weapon_Laser_LargeLaserPulse_X_2,Weapon,1,1
Weapon_Laser_MediumLaserER_Clantech_2,Weapon,1,1
Weapon_Laser_MediumLaserERPulse_2,Weapon,1,1
Weapon_Laser_MediumLaserPulse_Clantech_2,Weapon,1,1
Weapon_Laser_MediumLaserPulse_X_2,Weapon,1,1
Weapon_Laser_SmallLaserER_Clantech_2,Weapon,1,1
Weapon_Laser_SmallLaserPulse_Clantech_2,Weapon,1,1
Weapon_Laser_VSLLaser_2,Weapon,1,1
Weapon_Laser_VSMLaser_2,Weapon,1,1
Weapon_Laser_VSSLaser_2,Weapon,1,1
Weapon_LRM_ATM12_CLAN_2,Weapon,1,1
Weapon_LRM_ATM3_CLAN_2,Weapon,1,1
Weapon_LRM_ATM6_CLAN_2,Weapon,1,1
Weapon_LRM_ATM9_CLAN_2,Weapon,1,1
Weapon_LRM_LRM10_Clantech_2,Weapon,1,1
Weapon_LRM_LRM15_Clantech_2,Weapon,1,1
Weapon_LRM_LRM20_Clantech_2,Weapon,1,1
Weapon_LRM_LRM5_Clantech_2,Weapon,1,1
Weapon_MachineGun_MachineGun_CLAN_2,Weapon,1,1
Weapon_MachineGun_MachineGun_CLAN_HEAVY_2,Weapon,1,1
Weapon_MachineGun_MachineGun_CLAN_LIGHT_2,Weapon,1,1
Weapon_MML-3_2,Weapon,1,1
Weapon_MML-5_2,Weapon,1,1
Weapon_MML-7_2,Weapon,1,1
Weapon_MML-9_2,Weapon,1,1
Weapon_MRM_10-2,Weapon,1,1
Weapon_MRM_10-3,Weapon,1,1
Weapon_MRM_20-2,Weapon,1,1
Weapon_MRM_20-3,Weapon,1,1
Weapon_MRM_30-2,Weapon,1,1
Weapon_MRM_30-3,Weapon,1,1
Weapon_MRM_40-2,Weapon,1,1
Weapon_MRM_40-3,Weapon,1,1
Weapon_PPC_PPC_3,Weapon,1,1
Weapon_PPC_PPC_HEAVY_2,Weapon,1,1
Weapon_PPC_PPC_HEAVY_3,Weapon,1,1
Weapon_PPC_PPC_LIGHT_2,Weapon,1,1
Weapon_PPC_PPC_LIGHT_3,Weapon,1,1
Weapon_PPC_PPCER_3,Weapon,1,1
Weapon_PPC_PPCER_CLAN_2,Weapon,1,1
Weapon_PPC_PPCER_CLAN_3,Weapon,1,1
Weapon_RotaryAutocannon_RAC2_2,Weapon,1,1
Weapon_RotaryAutocannon_RAC5_2,Weapon,1,1
Weapon_SilverBulletSpecial_2,Weapon,1,1
Weapon_SRM_SRM2_Clantech_2,Weapon,1,1
Weapon_SRM_SRM2_Clantech_3,Weapon,1,1
Weapon_SRM_SRM2_STREAK_2,Weapon,1,1
Weapon_SRM_SRM2_STREAK_CLAN_2,Weapon,1,1
Weapon_SRM_SRM4_Clantech_2,Weapon,1,1
Weapon_SRM_SRM4_Clantech_3,Weapon,1,1
Weapon_SRM_SRM4_STREAK_2,Weapon,1,1
Weapon_SRM_SRM4_STREAK_CLAN_2,Weapon,1,1
Weapon_SRM_SRM6_Clantech_2,Weapon,1,1
Weapon_SRM_SRM6_Clantech_3,Weapon,1,1
Weapon_SRM_SRM6_STREAK_2,Weapon,1,1
Weapon_SRM_SRM6_STREAK_CLAN_2,Weapon,1,1
Weapon_Thunderbolt_10_2,Weapon,1,1
Weapon_Thunderbolt_15_2,Weapon,1,1
Weapon_Thunderbolt_20_2,Weapon,1,1
